datasetVersion,releaseDate,id,manufacturer,model,exactModelSku,gpu,gpuVram,oemMaximumGpuPowerWatts,nvidiaGpuSubsystemPowerRangeWatts,evidenceStatus,sourceUrl,lastVerified
1.0.0,2026-07-17,acer-nitro-16-2025,Acer,Acer Nitro 16S AI,AN16S-61-R7YL / NH.U19AA.001,RTX 5060,8GB GDDR7,115,45-100,official-oem-specification,https://www.acer.com/us-en/laptops/nitro/nitro-v-16s-ai-amd/pdp/NH.U19AA.001,2026-07-14
1.0.0,2026-07-17,acer-nitro-v-16,Acer,Acer Nitro V 16S AI,ANV16S-41-R2AJ / NH.QZYAA.001,RTX 5060,8GB GDDR7,85,45-100,official-oem-specification,https://www.acer.com/us-en/laptops/nitro/nitro-v-16s-ai-amd/pdp/NH.QZYAA.001,2026-07-14
1.0.0,2026-07-17,acer-predator-helios-neo-16-2025,Acer,Predator Helios Neo 16,PHN16S-71-98RF / NH.QZQAA.001,RTX 5070 Ti,12GB GDDR7,115,60-115,official-oem-specification,https://www.acer.com/us-en/predator/laptops/helios/helios-neo-16s-ai/pdp/NH.QZQAA.001,2026-07-14
1.0.0,2026-07-17,alienware-18-area-51,Alienware,Alienware 18 Area-51,Alienware 18 Area-51 AA18250 (B0F5WVJBC2),RTX 5090,24GB GDDR7,175,95-150,official-oem-specification,https://www.dell.com/support/manuals/en-us/alienware-area-51-aa18250-gaming-laptop/alienware-18-area-51-aa18250-owners-manual/,2026-07-16
1.0.0,2026-07-17,asus-rog-scar-16-2026,ASUS ROG,ROG Strix SCAR 16,G635LW-XS97,RTX 5080,16GB GDDR7,175,80-150,official-oem-specification,https://rog.asus.com/us/laptops/rog-strix/rog-strix-scar-16-2025/spec/,2026-07-16
1.0.0,2026-07-17,asus-rog-scar-18-2026,ASUS ROG,ROG Strix SCAR 18,G835LX-XS97,RTX 5090,24GB GDDR7,175,95-150,official-oem-specification,https://rog.asus.com/us/laptops/rog-strix/rog-strix-scar-18-2025/spec/,2026-07-16
1.0.0,2026-07-17,asus-rog-strix-g16-2026,ASUS ROG,ROG Strix G16 RTX 5080,G615LW retail 64GB configuration,RTX 5080,16GB GDDR7,175,80-150,official-oem-specification,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2025/spec/,2026-07-15
1.0.0,2026-07-17,asus-rog-zephyrus-g14-2026,ASUS ROG,Zephyrus G14,GA403UP-CS96,RTX 5070,8GB GDDR7,110,50-100,official-oem-specification,https://rog.asus.com/us/laptops/rog-zephyrus/rog-zephyrus-g14-2025/,2026-07-15
1.0.0,2026-07-17,asus-rog-zephyrus-g16-2026,ASUS ROG,Zephyrus G16 RTX 5080,GU605CW-G16.U95080-HID1,RTX 5080,16GB GDDR7,120,80-150,official-oem-specification,https://rog.asus.com/us/laptops/rog-zephyrus/rog-zephyrus-g16-2025/spec/,2026-07-15
1.0.0,2026-07-17,asus-rog-zephyrus-g16-high,ASUS ROG,Zephyrus G16 High-End,GU605CW retail configuration (B0FLM687GK),RTX 5080,16GB GDDR7,120,80-150,official-oem-specification,https://rog.asus.com/us/laptops/rog-zephyrus/rog-zephyrus-g16-2025-gu605/spec/,2026-07-16
1.0.0,2026-07-17,asus-rog-zephyrus-g16-mid,ASUS ROG,Zephyrus G16 Mid,GU605CR retail configuration,RTX 5070 Ti,12GB GDDR7,,60-115,official-source-tgp-not-published,https://rog.asus.com/us/laptops/rog-zephyrus/rog-zephyrus-g16-2025/,2026-07-15
1.0.0,2026-07-17,asus-tuf-a16-entry,ASUS TUF,TUF Gaming A16 64GB,FA608 retail 64GB configuration,RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.asus.com/us/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a16-2025/techspec/,2026-07-15
1.0.0,2026-07-17,asus-tuf-gaming-a16-amd,ASUS TUF,TUF Gaming A16 RTX 5070,TUF A16 retail 32GB configuration,RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.asus.com/us/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a16-2025/techspec/,2026-07-16
1.0.0,2026-07-17,asus-tuf-gaming-f16-rtx5070,ASUS TUF,TUF Gaming F16,FX507 retail configuration,RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.asus.com/us/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-f16-2024/techspec/,2026-07-15
1.0.0,2026-07-17,dell-alienware-16x-aurora,Alienware,Alienware 16X Aurora,Alienware 16X Aurora AC16251 (B0FWCQ2B6J),RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.dell.com/support/manuals/en-us/alienware-aurora-ac16251-gaming-laptop/alienware-16x-aurora-ac16251-owners-manual/,2026-07-16
1.0.0,2026-07-17,dell-g16-rtx4070,Alienware,Alienware 16 Aurora,Alienware 16 Aurora AC16250,RTX 5060,8GB GDDR7,115,45-100,official-oem-specification,https://www.dell.com/en-us/shop/dell-laptops/alienware-16-aurora-gaming-laptop/spd/alienware-aurora-ac16250-gaming-laptop,2026-07-15
1.0.0,2026-07-17,gigabyte-gaming-a16-rtx5060,Gigabyte,Gigabyte Gaming A16,GAMING A16 CVHI3US894SH,RTX 5060,8GB GDDR7,85,45-100,official-oem-specification,https://www.gigabyte.com/us/Laptop/GIGABYTE-GAMING-A16-GA6H/sp,2026-07-14
1.0.0,2026-07-17,hp-omen-16-rtx5070-2026,HP,HP Omen 16 Slim,16-an0000,RTX 5070,8GB GDDR7,,50-100,official-source-tgp-not-published,https://support.hp.com/us-en/document/ish_12515572-12516081-16,2026-07-14
1.0.0,2026-07-17,hp-omen-max-16-2026,HP,HP Omen Max 16,B64BNUA#ABA,RTX 5080,16GB GDDR7,175,80-150,official-oem-specification,https://www.hp.com/us-en/shop/pdp/omen-max-gaming-laptop-16t-ah000-16-b64bnua-aba-1,2026-07-15
1.0.0,2026-07-17,lenovo-legion-5-gen10-amd,Lenovo,Lenovo Legion 5 AMD,Legion 5 15AHP10 retail configuration,RTX 5060,8GB GDDR7,115,45-100,official-oem-specification,https://psref.lenovo.com/Product/Legion/Legion_5_15AHP10,2026-07-15
1.0.0,2026-07-17,lenovo-legion-5i-gen10,Lenovo,Lenovo Legion 5i,15IAX10 / 83N20003BO,RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.lenovo.com/br/pt/p/laptops/legion-laptops/legion-5-series/lenovo-legion-5i-gen-10-15-inch-intel/83n20003bo/,2026-07-14
1.0.0,2026-07-17,lenovo-legion-pro-7i-gen10,Lenovo,Legion Pro 7i Gen 10,16IAX10H / 83F50053US,RTX 5080,16GB GDDR7,175,80-150,official-oem-specification,https://www.lenovo.com/us/en/p/laptops/legion-laptops/legion-pro-series/legion-pro-7i-gen-10-16-inch-intel/83f50053us,2026-07-14
1.0.0,2026-07-17,lenovo-loq-15-gen10,Lenovo,Lenovo LOQ 15,15AHP10,RTX 5060,8GB GDDR7,115,45-100,official-oem-specification,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_15AHP10/LOQ_15AHP10_Spec.pdf,2026-07-14
1.0.0,2026-07-17,msi-katana-15-hx,MSI,MSI Katana 15 HX,Katana 15 HX B14WGK,RTX 5070,8GB GDDR7,115,50-100,official-oem-specification,https://www.msi.com/Laptop/Katana-15-HX-B14WX/Specification,2026-07-14
1.0.0,2026-07-17,msi-raider-16-max-hx,MSI,MSI Raider 18 HX 64GB,Raider 18 HX AI A2XWJG retail 64GB configuration,RTX 5090,24GB GDDR7,175,95-150,official-oem-specification,https://www.msi.com/Laptop/Raider-18-HX-AI-A2XWX/Specification,2026-07-15
